13-Apr-21 12:34:50.874 [Solver] INFO  util.Progress> [Solving problem ...]
13-Apr-21 12:34:50.875 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.termination.GeneralTerminationCondition
13-Apr-21 12:34:50.877 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.solution.GeneralSolutionComparator
13-Apr-21 12:34:50.878 [Solver] INFO  solver.Solver> Using org.cpsolver.exam.heuristics.ExamNeighbourSelection
13-Apr-21 12:34:50.883 [Solver] INFO  heuristics.StandardNeighbourSelection> Using org.cpsolver.ifs.heuristics.GeneralValueSelection
13-Apr-21 12:34:50.884 [Solver] INFO  heuristics.StandardNeighbourSelection> Using org.cpsolver.ifs.heuristics.GeneralVariableSelection
13-Apr-21 12:34:50.900 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.perturbations.DefaultPerturbationsCounter
13-Apr-21 12:34:50.911 [Solver] INFO  util.JProf> Using wall time.
13-Apr-21 12:34:51.444 [Solver] INFO  solver.Solver> Initial solution:[
    Assigned variables: 0.00% (0/832)
    Iteration: 0
    Number of Exams: 832
    Number of Exams Requiring Alt Seating: 832
    Number of Periods: 64
    Number of Rooms: 32
    Number of Small Exams (Exams W/O Room): 0
    Number of Student Exams: 0
    Number of Students: 13642
    Number of Students with 1 meeting: 284
    Number of Students with 10 or more meetings: 4559
    Number of Students with 2 meetings: 242
    Number of Students with 3 meetings: 150
    Number of Students with 4 meetings: 131
    Number of Students with 5 meetings: 263
    Number of Students with 6 meetings: 613
    Number of Students with 7 meetings: 1188
    Number of Students with 8 meetings: 2465
    Number of Students with 9 meetings: 3747
    Overall solution value: 0.00
    Time: 0.00 min
  ]
13-Apr-21 12:34:51.445 [Solver] INFO  exam.Test> **BEST[0]** V:0/832 - T:0.00 [@P:�, BTB:0, DC:0, M2D:0, PI:�, PP:0, PS:�, RP:0, RSd:�, RSp:0, RSz:�, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.788 [Solver] INFO  exam.Test> **BEST[37]** V:37/832 - T:30110.33 [@P:�, BTB:0, DC:29, M2D:2, PI:9.43, PP:0, PS:0, RP:0, RSd:0.02, RSp:91, RSz:88.08, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.795 [Solver] INFO  exam.Test> **BEST[38]** V:38/832 - T:30110.35 [@P:�, BTB:0, DC:29, M2D:2, PI:9.61, PP:0, PS:0, RP:0, RSd:0.02, RSp:91, RSz:90.79, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.799 [Solver] INFO  exam.Test> **BEST[39]** V:39/832 - T:30120.35 [@P:�, BTB:0, DC:29, M2D:2, PI:9.72, PP:0, PS:0, RP:0, RSd:0.02, RSp:92, RSz:88.69, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.805 [Solver] INFO  exam.Test> **BEST[40]** V:40/832 - T:30130.35 [@P:�, BTB:0, DC:29, M2D:2, PI:9.75, PP:0, PS:0, RP:0, RSd:0.01, RSp:93, RSz:87.08, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.811 [Solver] INFO  exam.Test> **BEST[41]** V:41/832 - T:30140.35 [@P:�, BTB:0, DC:29, M2D:2, PI:9.71, PP:0, PS:0, RP:0, RSd:0.01, RSp:94, RSz:85.2, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.814 [Solver] INFO  exam.Test> **BEST[42]** V:42/832 - T:30150.36 [@P:�, BTB:0, DC:29, M2D:2, PI:9.62, PP:0, PS:0, RP:0, RSd:0.01, RSp:95, RSz:84.93, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.818 [Solver] INFO  exam.Test> **BEST[43]** V:43/832 - T:30160.37 [@P:�, BTB:0, DC:29, M2D:2, PI:9.77, PP:0, PS:0, RP:0, RSd:0.01, RSp:96, RSz:84.91, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.824 [Solver] INFO  exam.Test> **BEST[44]** V:44/832 - T:30170.37 [@P:�, BTB:0, DC:29, M2D:2, PI:9.66, PP:0, PS:0, RP:0, RSd:0.01, RSp:97, RSz:83.07, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.830 [Solver] INFO  exam.Test> **BEST[45]** V:45/832 - T:30170.43 [@P:�, BTB:0, DC:29, M2D:2, PI:9.89, PP:0, PS:0, RP:0, RSd:0.01, RSp:97, RSz:94.18, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.835 [Solver] INFO  exam.Test> **BEST[46]** V:46/832 - T:30180.43 [@P:�, BTB:0, DC:29, M2D:2, PI:9.67, PP:0, PS:0, RP:0, RSd:0.01, RSp:98, RSz:92.43, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.841 [Solver] INFO  exam.Test> **BEST[47]** V:47/832 - T:30190.43 [@P:�, BTB:0, DC:29, M2D:2, PI:9.83, PP:0, PS:0, RP:0, RSd:0.01, RSp:99, RSz:90.77, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.845 [Solver] INFO  exam.Test> **BEST[48]** V:48/832 - T:30190.48 [@P:�, BTB:0, DC:29, M2D:2, PI:10.08, PP:0, PS:0, RP:0, RSd:0.01, RSp:99, RSz:99.81, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.850 [Solver] INFO  exam.Test> **BEST[49]** V:49/832 - T:30200.48 [@P:�, BTB:0, DC:29, M2D:2, PI:10.27, PP:0, PS:0, RP:0, RSd:0.01, RSp:100, RSz:98, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.856 [Solver] INFO  exam.Test> **BEST[50]** V:50/832 - T:30210.49 [@P:�, BTB:0, DC:29, M2D:2, PI:10.24, PP:0, PS:0, RP:0, RSd:0.01, RSp:101, RSz:96.34, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.862 [Solver] INFO  exam.Test> **BEST[51]** V:51/832 - T:30220.49 [@P:�, BTB:0, DC:29, M2D:2, PI:10.47, PP:0, PS:0, RP:0, RSd:0.01, RSp:102, RSz:94.49, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.864 [Solver] INFO  exam.Test> **BEST[52]** V:52/832 - T:30220.51 [@P:�, BTB:0, DC:29, M2D:2, PI:10.71, PP:0, PS:0, RP:0, RSd:0.01, RSp:102, RSz:96.42, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.867 [Solver] INFO  exam.Test> **BEST[53]** V:53/832 - T:30220.56 [@P:�, BTB:0, DC:29, M2D:2, PI:10.94, PP:0, PS:0, RP:0, RSd:0.01, RSp:102, RSz:105.47, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.870 [Solver] INFO  exam.Test> **BEST[54]** V:54/832 - T:30230.56 [@P:�, BTB:0, DC:29, M2D:2, PI:11.17, PP:0, PS:0, RP:0, RSd:0.01, RSp:103, RSz:103.67, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.876 [Solver] INFO  exam.Test> **BEST[55]** V:55/832 - T:30240.57 [@P:�, BTB:0, DC:29, M2D:2, PI:11.07, PP:0, PS:0, RP:0, RSd:0.01, RSp:104, RSz:101.95, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.880 [Solver] INFO  exam.Test> **BEST[56]** V:56/832 - T:30250.57 [@P:�, BTB:0, DC:29, M2D:2, PI:11.11, PP:0, PS:0, RP:0, RSd:0.01, RSp:105, RSz:100.45, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.887 [Solver] INFO  exam.Test> **BEST[57]** V:57/832 - T:30260.57 [@P:�, BTB:0, DC:29, M2D:2, PI:11.21, PP:0, PS:0, RP:0, RSd:0.01, RSp:106, RSz:99.16, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.891 [Solver] INFO  exam.Test> **BEST[58]** V:58/832 - T:30270.57 [@P:�, BTB:0, DC:29, M2D:2, PI:11.05, PP:0, PS:0, RP:0, RSd:0.01, RSp:107, RSz:97.48, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.896 [Solver] INFO  exam.Test> **BEST[59]** V:59/832 - T:30270.57 [@P:�, BTB:0, DC:29, M2D:2, PI:11.29, PP:0, PS:0, RP:0, RSd:0.01, RSp:107, RSz:95.95, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.901 [Solver] INFO  exam.Test> **BEST[60]** V:60/832 - T:30270.64 [@P:�, BTB:0, DC:29, M2D:2, PI:11.52, PP:0, PS:0, RP:0, RSd:0.01, RSp:107, RSz:105.07, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.908 [Solver] INFO  exam.Test> **BEST[61]** V:61/832 - T:30280.64 [@P:�, BTB:0, DC:29, M2D:2, PI:11.64, PP:0, PS:0, RP:0, RSd:0.01, RSp:108, RSz:103.92, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.912 [Solver] INFO  exam.Test> **BEST[62]** V:62/832 - T:30290.64 [@P:�, BTB:0, DC:29, M2D:2, PI:11.6, PP:0, PS:0, RP:0, RSd:0.01, RSp:109, RSz:102.5, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.917 [Solver] INFO  exam.Test> **BEST[63]** V:63/832 - T:30300.65 [@P:�, BTB:0, DC:29, M2D:2, PI:11.56, PP:0, PS:0, RP:0, RSd:0.01, RSp:110, RSz:101.63, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.923 [Solver] INFO  exam.Test> **BEST[64]** V:64/832 - T:30310.65 [@P:�, BTB:0, DC:29, M2D:2, PI:11.64, PP:0, PS:0, RP:0, RSd:0.01, RSp:111, RSz:100.48, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.926 [Solver] INFO  exam.Test> **BEST[65]** V:65/832 - T:30320.65 [@P:�, BTB:0, DC:29, M2D:2, PI:11.68, PP:0, PS:0, RP:0, RSd:0.01, RSp:112, RSz:99.03, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.929 [Solver] INFO  exam.Test> **BEST[66]** V:66/832 - T:30330.66 [@P:�, BTB:0, DC:29, M2D:2, PI:11.7, PP:0, PS:0, RP:0, RSd:0.01, RSp:113, RSz:99.64, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.932 [Solver] INFO  exam.Test> **BEST[67]** V:67/832 - T:30340.66 [@P:�, BTB:0, DC:29, M2D:2, PI:11.52, PP:0, PS:0, RP:0, RSd:0.01, RSp:114, RSz:98.15, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.939 [Solver] INFO  exam.Test> **BEST[68]** V:68/832 - T:30350.66 [@P:�, BTB:0, DC:29, M2D:2, PI:11.43, PP:0, PS:0, RP:0, RSd:0.01, RSp:115, RSz:96.78, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.942 [Solver] INFO  exam.Test> **BEST[69]** V:69/832 - T:30360.67 [@P:�, BTB:0, DC:29, M2D:2, PI:11.33, PP:0, PS:0, RP:0, RSd:0.01, RSp:116, RSz:95.9, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.945 [Solver] INFO  exam.Test> **BEST[70]** V:70/832 - T:30370.67 [@P:�, BTB:0, DC:29, M2D:2, PI:11.37, PP:0, PS:0, RP:0, RSd:0.01, RSp:117, RSz:94.56, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.950 [Solver] INFO  exam.Test> **BEST[71]** V:71/832 - T:30380.67 [@P:�, BTB:0, DC:29, M2D:2, PI:11.44, PP:0, PS:0, RP:0, RSd:0.01, RSp:118, RSz:93.45, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.955 [Solver] INFO  exam.Test> **BEST[72]** V:72/832 - T:30390.67 [@P:�, BTB:0, DC:29, M2D:2, PI:11.5, PP:0, PS:0, RP:0, RSd:0.01, RSp:119, RSz:92.42, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.960 [Solver] INFO  exam.Test> **BEST[73]** V:73/832 - T:30400.67 [@P:�, BTB:0, DC:29, M2D:2, PI:11.56, PP:0, PS:0, RP:0, RSd:0.01, RSp:120, RSz:91.56, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.963 [Solver] INFO  exam.Test> **BEST[74]** V:74/832 - T:30410.68 [@P:�, BTB:0, DC:29, M2D:2, PI:11.55, PP:0, PS:0, RP:0, RSd:0.01, RSp:121, RSz:90.77, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.968 [Solver] INFO  exam.Test> **BEST[75]** V:75/832 - T:30420.68 [@P:�, BTB:0, DC:29, M2D:2, PI:11.44, PP:0, PS:0, RP:0, RSd:0.01, RSp:122, RSz:89.73, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.975 [Solver] INFO  exam.Test> **BEST[76]** V:76/832 - T:30430.68 [@P:�, BTB:0, DC:29, M2D:2, PI:11.51, PP:0, PS:0, RP:0, RSd:0.01, RSp:123, RSz:88.74, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.981 [Solver] INFO  exam.Test> **BEST[77]** V:77/832 - T:30440.68 [@P:�, BTB:0, DC:29, M2D:2, PI:11.4, PP:0, PS:0, RP:0, RSd:0.01, RSp:124, RSz:87.82, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.985 [Solver] INFO  exam.Test> **BEST[78]** V:78/832 - T:30450.68 [@P:�, BTB:0, DC:29, M2D:2, PI:11.51, PP:0, PS:0, RP:0, RSd:0.01, RSp:125, RSz:86.72, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.990 [Solver] INFO  exam.Test> **BEST[79]** V:79/832 - T:30460.69 [@P:�, BTB:0, DC:29, M2D:2, PI:11.58, PP:0, PS:0, RP:0, RSd:0.01, RSp:126, RSz:86.18, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.994 [Solver] INFO  exam.Test> **BEST[80]** V:80/832 - T:30470.69 [@P:�, BTB:0, DC:29, M2D:2, PI:11.51, PP:0, PS:0, RP:0, RSd:0.01, RSp:127, RSz:85.45, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.998 [Solver] INFO  exam.Test> **BEST[81]** V:81/832 - T:30480.69 [@P:�, BTB:0, DC:29, M2D:2, PI:11.53, PP:0, PS:0, RP:0, RSd:0.01, RSp:128, RSz:84.65, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.002 [Solver] INFO  exam.Test> **BEST[82]** V:82/832 - T:30490.69 [@P:�, BTB:0, DC:29, M2D:2, PI:11.41, PP:0, PS:0, RP:0, RSd:0.01, RSp:129, RSz:83.74, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.016 [Solver] INFO  exam.Test> **BEST[83]** V:83/832 - T:30500.69 [@P:�, BTB:0, DC:29, M2D:2, PI:11.59, PP:0, PS:0, RP:0, RSd:0.01, RSp:130, RSz:82.93, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.027 [Solver] INFO  exam.Test> **BEST[84]** V:84/832 - T:30510.70 [@P:�, BTB:0, DC:29, M2D:2, PI:11.79, PP:0, PS:0, RP:0, RSd:0.01, RSp:131, RSz:82.29, iBTB:0, iDC:0, iM2D:0]
